Vabrocidum |  Vabrocid(um, i n
Veneti |  Veneti, orum m
venia |  venia, ae f
venio |  venio, veni, ventum, ire поэт.
venographia |  venographia, ae f
venor |  venor, atus sum, ari
venosus |  venosus, a, um анат.
venter |  venter, tris m
ventilo |  ventilo, avi, atum, are
ventito |  ventito, avi, atum, are
ventosus |  ventosus, a, um поэт.
ventralis |  ventralis, e анат.
ventricularis |  ventricularis, e анат.
ventriculographia |  ventriculographia, ae f
ventriculus |  ventriculus, i m
ventrodorsalis |  ventrodorsalis, e анат.
ventromedialis |  ventromedialis, e анат.
ventus |  ventus, i m
venucula |  venucula, ae f
venula |  venula, ae f
venularis |  venularis, e анат.
venundo |  venundo, dedi, datum, are
Venus |  Venus, eris f
venus |  I venus, eris f
Venusia |  Venusia, ae f
venustas |  venustas, atis f
venuste |  venuste adv.
venustus |  venustus, a, um
vepallidus |  vepallidus, a, um
veprecula |  veprecula, ae f
vepres |  vepres, is m
ver |  ver, veris n
Verapamilum |  Verapamil(um, i n
verax |  verax, acis
verbena |  verbena, ae f
verber |  verber, eris n
verbero |  verbero, avi, atum, are
verbose |  verbose adv.
verbosus |  verbosus, a, um
verbum |  verbum, i n
Vercingetorix |  Vercingetorix, igis m
vere |  vere adv.
verecunde |  verecunde adv.
verecundia |  verecundia, ae f
verecundns |  verecundns, a, um
verecundor |  verecundor, atus sum, ari
verendus |  verendus, a, um
vereor |  vereor, ritus sum, eri
vergiliae |  vergiliae, arum f
Vergilius |  Vergilius, i m
vergo |  vergo, --, --, ere поэт.
veridicus |  veridicus, a, um
verisimilis |  verisimilis, e
verisimilitudo |  verisimilitudo, inis f
veritas |  veritas, atis f
Vermicomprenum |  Vermicompren(um, i n
vermiformis |  vermiformis, e анат.
vermis |  vermis, is m
Vermithanum |  Vermithan(um, i n
Vermitinum |  Vermitin(um, i n
Vermitoxum |  Vermitox(um, i n
Vermofinum |  Vermofin(um, i n
Vermoxylum |  Vermoxyl(um, i n
verna |  verna, ae m
vernaculus |  vernaculus, a, um
vernilis |  vernilis, e
verniliter |  verniliter adv.
verno |  verno, --, --, are
vernus |  I vernus, a, um
vero |  vero adv.
Verobromanum |  Verobroman(um, i n
Verodonum |  Verodon(um, i n
Verografinum |  Verografin(um, i n
Veromandui |  Veromandui, orum m
Verona |  Verona, ae f
Veronalum |  Veronal(um, i n
Verophenum |  Verophen(um, i n
Verospironum |  Verospiron(um, i n
verres |  I verres, is m
verro |  verro, --, versum, ere
verruca |  verruca, ae f
verrunco |  verrunco, --, --, are
verrutum |  verrutum, i n
versatilis |  versatilis, e
versicolor |  versicolor, oris
versiculus |  versiculus, i m
verso |  verso (vorso), avi, atum, are pass.
versum |  versum (vorsum)
versura |  versura (vorsura), ae f
versus |  I versus, a, um part.
versutia |  versutia, ae f
versutus |  versutus, a, um
vertebra |  vertebra, ae f
vertebralis |  vertebralis, e анат.
vertex |  vertex (vortex), icis m
verticalis |  verticalis, e анат.
verticosus |  verticosus (vorticosus), a, um
vertigo |  vertigo, inis f
verto |  verto ( арх.
Vertumnus |  Vertumnus, i m
veru |  veru, us n
verum |  I verum adv.
verumtamen |  verumtamen (veruntamen) conj.
verus |  verus, a, um
verutum |  verutum (verrutum), i n
verutus |  verutus, a, um
vesania |  vesania, ae f
vesanus |  vesanus, a, um поэт.
vescor |  vescor, --, vesci
vescus |  vescus, a, um
vesica |  vesica, ae f
vesicalis |  vesicalis, e анат.
vesicographia |  vesicographia, ae f
vesicorectalis |  vesicorectalis, e анат.
vesicouterinus |  vesicouterinus, a, um анат.
vesicovaginalis |  vesicovaginalis, e анат.
vesicula |  vesicula, ae f
vesicularis |  vesicularis, e анат.
vesiculographia |  vesiculographia, ae f
vesiculosus |  vesiculosus, a, um анат.
Vesontio |  Vesontio, onis m
vespa |  vespa, ae f
Vespasianus |  Vespasianus, i m
Vespazinum |  Vespazin(um, i n
vesper |  vesper, eris (eri) m
vespera |  vespera, ae f
vesperae |  vesperae, arum f
Vesperalum |  Vesperal(um, i n
vesperasco |  vesperasco, avi, --, ere
vespertinus |  vespertinus, a, um поэт.
Vesta |  Vesta, ae f
Vestalis |  Vestalis, is f
vester |  vester (voster), tra, trum
vestiarium |  vestiarium, i n
vestibularis |  vestibularis, e анат.
vestibulocerebellaris |  vestibulocerebellaris, e анат.
vestibulocochlearis |  vestibulocochlearis, e анат.
vestibulospinalis |  vestibulospinalis, e анат.
vestibulum |  vestibulum, i n
vestigium |  vestigium, i n
vestigo |  vestigo, avi, --, are
vestimentum |  vestimentum, i n
vestio |  vestio, ivi (ii), itum, ire
vestis |  vestis, is f
vestitus |  vestitus, us, m
Vesuvius |  Vesuvius, i m
Vetacalmum |  Vetacalm(um, i n
vetera |  vetera, um n
veterani |  veterani, orum m
veteranus |  veteranus, a, um
veterasco |  veterasco, --, --, ere
veterator |  veterator, oris m
veteratorius |  veteratorius, a, um
veteres |  veteres, um m
veternus |  veternus, i m
Vetidrexum |  Vetidrex(um, i n
vetitum |  vetitum, i n
veto |  veto, vetui, vetitum, are
Vetrazinum |  Vetrazin(um, i n
Vetrenum |  Vetren(um, i n
vetulus |  vetulus, a, um
vetus |  vetus, eris compar.
vetustas |  vetustas, atis f
vetustus |  vetustus, a, um
vexatio |  vexatio, onis f
vexator |  vexator, oris m
vexillarius |  vexillarius, i m
vexillum |  vexillum, i n
vexo |  vexo, avi, atum, are
via |  via, ae f
Viadeninum |  Viadenin(um, i n
Viadrilum |  Viadril(um, i n
Viansinum |  Viansin(um, i n
viaticum |  viaticum, i n
viator |  viator, oris m
Vibiconum |  Vibicon(um, i n
Vibovitum |  Vibovit(um, i n
vibrio |  vibrio, onis f
vibrissae |  vibrissae, arum f
vibro |  vibro, avi, atum, are поэт.
viburnum |  viburnum, i n
Vicairum |  Vicair(um, i n
Vicalinum |  Vicalin(um, i n
vicani |  vicani, orum m
vicanus |  vicanus, a, um
vicarius |  I vicarius, a, um m
Vicasolum |  Vicasol(um, i n
vicatim |  vicatim adv.
Viccillinum |  Viccillin(um, i n
vice |  vice см.
Viceinum |  Vicein(um, i n
vicem |  vicem см.
viceni |  viceni, ae, a
vices |  vices см.
vicesima |  vicesima, ae f
vicesimarius |  vicesimarius, a, um
vicesimus |  vicesimus (vigesimus), a, um
Vicia |  Vicia, ae f
vicies |  vicies (viciens) adv.
vicina |  vicina, orum n
vicinalis |  vicinalis, e
vicinia |  vicinia, ae f
vicinitas |  vicinitas, atis f
Vicinum |  Vicin(um, i n
vicinus |  vicinus, a, um
vicis |  vicis gen.
vicissim |  vicissim adv.
vicissitudo |  vicissitudo, inis f
victima |  victima, ae f
victimarius |  victimarius, i m
victor |  victor, oris m
victoria |  victoria, ae f
victoriatus |  victoriatus, i m
victrix |  victrix, icis f
victus |  victus, us m
viculus |  viculus, i m
vicus |  vicus, i m
Videinum |  Videin(um, i n
videlicet |  videlicet adv.
viden |  viden'?
video |  video, vidi, visum, ere pass.
vidua |  vidua, ae f
viduitas |  viduitas, atis f
viduo |  viduo, avi, atum, are
viduus |  viduus, a, um поэт.
Vienna |  Vienna, ae f
vietus |  vietus, a, um
Vigantolum |  Vigantol(um, i n
vigeni |  vigeni, ae, a
vigeo |  vigeo, gui, --, ere
vigesimus |  vigesimus, a, um
vigil |  vigil, ilis
vigilans |  vigilans, antis
vigilanter |  vigilanter adv.
vigilantia |  vigilantia, ae f
vigilax |  vigilax, acis
vigilia |  vigilia, ae f
vigilo |  vigilo, avi, atum, are поэт.
viginti |  viginti
vigor |  vigor, oris m
vila |  vila, ae f
vilicus |  vilicus
vilis |  vilis, e поэт.
vilitas |  vilitas, atis f
villa |  villa, ae f
villica |  villica, ae f
villico |  villico (vilico), --, --, are
villicus |  I villicus (vilicus), a, um m
villosus |  villosus, a, um анат.
villula |  villula, ae f
villus |  villus, i m
vimen |  vimen, inis n
Viminalis |  Viminalis, is m
vimineus |  vimineus, a, um
Vinactanum |  Vinactan(um, i n
vinalia |  vinalia, ium n
vinalis |  vinalis, e
vinarium |  vinarium, i n
vinarius |  I vinarius, a, um m
Vinblastinum |  Vinblastin(um, i n
Vinca |  Vinca, ae f
Vincaleukoblastinum |  Vincaleukoblastin(um, i n
Vincametrinum |  Vincametrin(um, i n
Vincaminum |  Vincamin(um, i n
Vincapanum |  Vincapan(um, i n
Vincatonum |  Vincaton(um, i n
vincio |  vincio, vinxi, vinctum, ire
vinco |  vinco, vici, victum, ere поэт.
Vincristinum |  Vincristin(um, i n
vinculum |  vinculum (vinclum), i n
vindemia |  vindemia, ae f
vindemiator |  vindemiator, oris m
vindex |  vindex, icis m
vindiciae |  vindiciae, arum f
vindico |  vindico (vendico), avi, atum, are
vindicta |  vindicta, ae f
vinea |  vinea, ae f
vinetum |  vinetum, i n
vinitor |  vinitor, oris m
vinolentia |  vinolentia, ae f
vinolentus |  vinolentus, a, um
vinosus |  vinosus, a, um
vinulentus |  vinulentus
vinum |  vinum, i n
Viocinum |  Viocin(um, i n
Vioformum |  Vioform(um, i n
Viofuralum |  Viofural(um, i n
Viojoclorum |  Viojoclor(um, i n
viola |  viola, ae f
violabilis |  violabilis, e
violaceus |  violaceus, a, um
violarium |  violarium, i n
violatio |  violatio, onis f
violator |  violator, oris m
violens |  violens, entis
violenter |  violenter adv.
violentia |  violentia, ae f
violentus |  violentus, a, um
violo |  violo, avi, atum, are
Viomycinum |  Viomycin(um, i n
Vionactanum |  Vionactan(um, i n
Viosterolum |  Viosterol(um, i n
vipera |  vipera, ae f
Viperalginum |  Viperalgin(um, i n
vipereus |  vipereus, a, um поэт.
viperinus |  viperinus, a, um
Viprasidum |  Viprasid(um, i n
Vipratoxum |  Vipratox(um, i n
vir |  vir, viri m
virago |  virago, inis f
Virapinum |  Virapin(um, i n
virectum |  virectum, i n
virens |  virens, entis поэт.
vireo |  vireo, --, --, ere
viresco |  viresco, rui, --, ere
virga |  virga, ae f
virgatus |  virgatus, a, um
virgeus |  virgeus, a, um
Virgilius |  Virgilius, i m
virginalis |  virginalis, e
virgineus |  virgineus, a, um
Virginia |  Virginia, ae f
virginitas |  virginitas, atis f
virgo |  virgo, inis f
virgula |  virgula, ae f
virgultum |  virgultum, i n
virgultus |  virgultus, a, um
viride |  viride nitens фармац.
viridis |  viridis, e
viriditas |  viriditas, atis f
virido |  virido, --, --, are pass.
virilia |  virilia, ium n
virilis |  virilis, e
viriliter |  viriliter adv.
viritim |  viritim adv.
Virormonum |  Virormon(um, i n
virosus |  virosus, a, um
virtus |  virtus, utis f
virus |  virus, i n
vis |  vis acc.
Visadronum |  Visadron(um, i n
Visammimixum |  Visammimix(um, i n
Viscardanum |  Viscardan(um, i n
viscatus |  viscatus, a, um
visceralis |  visceralis, e анат.
visceratio |  visceratio, onis f
viscum |  viscum, i n
viscus |  viscus, eris n
visenda |  visenda, orum n
visendus |  visendus, a, um
Visnagalinum |  Visnagalin(um, i n
Visnagenum |  Visnagen(um, i n
viso |  viso, si, sum, ere
Visotrastum |  Visotrast(um, i n
Vistula |  Vistula, ae f
visum |  visum, i n
Visurgis |  Visurgis, is m
visus |  visus, us m
vita |  vita, ae f
vitabilis |  vitabilis, e
vitabundus |  vitabundus, a, um
Vitadolum |  Vitadol(um, i n
Vitaflavinum |  Vitaflavin(um, i n
Vitaiodurolum |  Vitaiodurol(um, i n
vitalis |  vitalis, e
vitaminosus |  vitaminosus, a, um
vitaminum |  vitaminum, i n
Vitascorbolum |  Vitascorbol(um, i n
Vitasterolum |  Vitasterol(um, i n
vitatio |  vitatio, onis f
Vitazonum |  Vitazon(um, i n
vitellinus |  vitellinus, a, um анат.
Vitellius |  Vitellius, a, um
vitellus |  vitellus, i m
viteus |  viteus, a, um
vitio |  vitio, avi, atum, are
vitiose |  vitiose adv.
vitiosus |  vitiosus, a, um
vitis |  vitis, is f
vitisator |  vitisator, oris m
vitium |  vitium, i n
vito |  vito, avi, atum, are
Vitohepatum |  Vitohepat(um, i n
Vitoxycyclinum |  Vitoxycyclin(um, i n
vitreus |  vitreus, a, um поэт.
vitricus |  vitricus, i m
vitriterstrum |  vitriterstrum, i n
Vitrocinum |  Vitrocin(um, i n
vitrum |  vitrum, i n
vitta |  vitta, ae f
vittatus |  vittatus, a, um
vitula |  vitula, ae f
vitulina |  vitulina, ae f
vitulinus |  vitulinus, a, um
vitulus |  vitulus, i m
vituperatio |  vituperatio, onis f
vitupero |  vitupero, avi, atum, are
vivarium |  vivarium, i n
vivax |  vivax, acis поэт.
vividus |  vividus, a, um
vivo |  vivo, vixi, victum, ere поэт.
vivum |  vivum, i n
vivus |  vivus, a, um
vix |  vix adv.
vixdum |  vixdum adv.
vocabulum |  vocabulum, i n
vocalis |  vocalis, e грам.
vocatus |  vocatus, us m
vociferatio |  vociferatio, onis f
vociferor |  vociferor, atus sum, ari
vocito |  vocito, avi, atum, are
voco |  voco, avi, atum, are поэт.
Vofaverdinum |  Vofaverdin(um, i n
Voganum |  Vogan(um, i n
Vogesus |  Vogesus, i m
vola |  vola, ae f
volaris |  volaris, e анат.
volaticus |  volaticus, a, um
volatilis |  volatilis, e поэт.
volatus |  volatus, us m
Volcae |  Volcae, arum m
Volcanus |  Volcanus, i m
volemus |  volemus, a, um
volens |  volens, entis
volg |  volg...
Volitalum |  Volital(um, i n
volito |  volito, avi, atum, are
volnero |  volnero, avi, atum, are
volnus |  volnus
volo |  I volo, avi, atum, are юр.
Volocidum |  Volocid(um, i n
volpes |  volpes, is f
Volsci |  Volsci, orum m
volsus |  volsus, a, um см.
voltur |  voltur...
voltus |  voltus, us m
volubilis |  volubilis, e
volubilitas |  volubilitas, atis f
volucer |  volucer, cris, cre
volucris |  volucris, is f
volumen |  volumen, inis n
voluntarius |  voluntarius, a, um
voluntas |  voluntas, atis f
voluptarius |  voluptarius, a, um
voluptas |  voluptas, atis f
volutabrum |  volutabrum, i n
volutatio |  volutatio, onis f
voluto |  voluto, avi, atum, are pass.
volva |  volva
volvo |  volvo, volvi, volutum, ere pass.
vomer |  vomer (vomis), eris m
vomeronasalis |  vomeronasalis, e анат.
vomerovaginalis |  vomerovaginalis, e анат.
vomica |  vomica, ae f
vomis |  vomis, eris m
vomo |  vomo, mui, mitum, ere
Vontilum |  Vontil(um, i n
vorago |  vorago, inis f
vorax |  vorax, acis
voro |  voro, avi, atum, are
vors |  vors...
vort |  vort...
vortex |  vortex, icis m
vorticosus |  vorticosus, a, um анат.
vos |  vos см.
Vosegus |  Vosegus, i m
voster |  voster, tra, trum
votivus |  votivus, a, um
votum |  votum, i n
voveo |  voveo, vovi, votum, ere поэт.
vox |  vox, vocis f
Vulcamycinum |  Vulcamycin(um, i n
Vulcanus |  Vulcanus, i m
vulgaris |  vulgaris (volgaris), e
vulgator |  vulgator, oris m
vulgatus |  vulgatus, a, um
vulgo |  I vulgo (volgo) adv.
vulgus |  vulgus (volgus), i n
vulneratio |  vulneratio (volneratio), onis f
vulnero |  vulnero (volnero), avi, atum, are
vulnificus |  vulnificus (volnificus), a, um
vulnus |  vulnus (volnus), eris n
vulpecula |  vulpecula, ae f
vulpes |  vulpes ( арх.
vultur |  vultur (voltur), uris m
vulturius |  vulturius (volturius), i m
vulturnus |  vulturnus (volturnus), i m
vultus |  vultus (voltus), us m
